Id,Category
78351.jpg,1
20443.jpg,0
71849.jpg,1
44474.jpg,1
88957.jpg,0
54071.jpg,1
90053.jpg,0
91021.jpg,0
42482.jpg,0
54899.jpg,0
89534.jpg,1
48915.jpg,0
18772.jpg,0
40230.jpg,1
55298.jpg,0
87509.jpg,0
64317.jpg,1
19590.jpg,1
72556.jpg,0
27931.jpg,0
49886.jpg,0
85634.jpg,0
20489.jpg,0
55082.jpg,0
14512.jpg,1
80371.jpg,0
53992.jpg,0
95861.jpg,0
64483.jpg,1
11327.jpg,0
18835.jpg,1
91271.jpg,0
36092.jpg,0
83417.jpg,1
43994.jpg,0
42823.jpg,0
79169.jpg,0
50031.jpg,1
19435.jpg,0
67691.jpg,0
85138.jpg,0
12607.jpg,0
54076.jpg,1
99073.jpg,1
60969.jpg,1
11665.jpg,0
26768.jpg,0
22697.jpg,0
66362.jpg,0
49562.jpg,1
85022.jpg,1
89855.jpg,0
11332.jpg,0
94801.jpg,1
40823.jpg,0
20338.jpg,1
30715.jpg,0
83293.jpg,0
37032.jpg,1
70504.jpg,0
33949.jpg,1
70797.jpg,0
87269.jpg,0
67842.jpg,1
82572.jpg,0
72886.jpg,0
34483.jpg,0
30691.jpg,1
20608.jpg,0
85608.jpg,0
19998.jpg,0
81173.jpg,0
34145.jpg,1
51232.jpg,0
48867.jpg,0
25563.jpg,1
58437.jpg,1
12949.jpg,0
32439.jpg,1
52806.jpg,0
98027.jpg,0
65099.jpg,1
94513.jpg,1
36324.jpg,0
53529.jpg,0
85352.jpg,0
85521.jpg,0
46804.jpg,1
72783.jpg,0
93998.jpg,0
25733.jpg,0
80344.jpg,0
35390.jpg,0
95455.jpg,0
89650.jpg,1
94643.jpg,0
40526.jpg,0
55446.jpg,0
